entity,code,year,illiteracy_rate,literacy_rate
Afghanistan,AFG,1950,97.0,3.0
Afghanistan,AFG,1979,81.84,18.16
Afghanistan,AFG,2011,68.55,31.45
Afghanistan,AFG,2015,66.25,33.75
Afghanistan,AFG,2020,63.985035,36.014965
Afghanistan,AFG,2021,62.73,37.27
Albania,ALB,1950,27.5,72.5
Albania,ALB,2001,1.2900009,98.71
Albania,ALB,2008,4.0599976,95.94
Albania,ALB,2011,3.1500015,96.85
Albania,ALB,2012,2.75,97.25
Albania,ALB,2017,1.1900024,98.81
Albania,ALB,2023,2.3199997,97.68
Algeria,DZA,1950,82.5,17.5
Algeria,DZA,1987,50.37,49.63
Algeria,DZA,2002,30.129997,69.87
Algeria,DZA,2006,27.349998,72.65
Algeria,DZA,2008,24.86,75.14
American Samoa,ASM,1950,3.5,96.5
American Samoa,ASM,1980,2.6600037,97.34
Andorra,AND,1950,17.5,82.5
Angola,AGO,1950,97.0,3.0
Angola,AGO,2001,32.589996,67.41
Angola,AGO,2014,33.97,66.03
Angola,AGO,2015,33.760002,66.24
Angola,AGO,2023,31.82,68.18
Anguilla,AIA,1984,4.5899963,95.41
Antigua and Barbuda,ATG,1950,17.5,82.5
Antigua and Barbuda,ATG,2001,1.050003,98.95
Argentina,ARG,1914,35.1,64.9
Argentina,ARG,1947,13.6,86.4
Argentina,ARG,1950,12.5,87.5
Argentina,ARG,1980,6.0899963,93.91
Argentina,ARG,1991,3.959999,96.04
Argentina,ARG,2001,2.8099976,97.19
Argentina,ARG,2020,0.8600006,99.14
Armenia,ARM,1989,1.25,98.75
Armenia,ARM,2001,0.5999985,99.4
Armenia,ARM,2011,0.26000214,99.74
Armenia,ARM,2016,0.26000214,99.74
Armenia,ARM,2017,0.26000214,99.74
Armenia,ARM,2018,0.0,100.0
Armenia,ARM,2019,0.0,100.0
Armenia,ARM,2020,0.20999908,99.79
Armenia,ARM,2022,0.1800003,99.82
Armenia,ARM,2023,0.16000366,99.84
Aruba,ABW,2000,2.709999,97.29
Aruba,ABW,2010,3.1800003,96.82
Australia,AUS,1950,1.5,98.5
Austria,AUT,1950,1.5,98.5
Azerbaijan,AZE,1999,1.2099991,98.79
Azerbaijan,AZE,2007,0.41000366,99.59
Azerbaijan,AZE,2009,0.23999786,99.76
Azerbaijan,AZE,2010,0.23000336,99.77
Azerbaijan,AZE,2011,0.22000122,99.78
Azerbaijan,AZE,2012,0.22000122,99.78
Azerbaijan,AZE,2013,0.20999908,99.79
Azerbaijan,AZE,2014,0.20999908,99.79
Azerbaijan,AZE,2015,0.20999908,99.79
Azerbaijan,AZE,2016,0.20999908,99.79
Azerbaijan,AZE,2017,0.20999908,99.79
Azerbaijan,AZE,2019,0.19999695,99.8
Azerbaijan,AZE,2023,0.22000122,99.78
Bahamas,BHS,1950,22.5,77.5
Bahrain,BHR,1950,87.5,12.5
Bahrain,BHR,1981,30.25,69.75
Bahrain,BHR,1991,15.989998,84.01
Bahrain,BHR,2001,13.449997,86.55
Bahrain,BHR,2022,2.1299973,97.87
Bahrain,BHR,2023,2.1500015,97.85
Bahrain,BHR,2024,2.1800003,97.82
Bangladesh,BGD,1981,70.770004,29.23
Bangladesh,BGD,1991,64.68,35.32
Bangladesh,BGD,2001,52.51,47.49
Bangladesh,BGD,2011,41.23,58.77
Bangladesh,BGD,2012,42.14,57.86
Bangladesh,BGD,2013,38.98,61.02
Bangladesh,BGD,2014,38.91,61.09
Bangladesh,BGD,2015,34.86,65.14
Bangladesh,BGD,2016,27.239998,72.76
Bangladesh,BGD,2017,27.11,72.89
Bangladesh,BGD,2018,26.089996,73.91
Bangladesh,BGD,2019,25.32,74.68
Bangladesh,BGD,2020,25.089996,74.91
Bangladesh,BGD,2021,23.64,76.36
Bangladesh,BGD,2022,21.0,79.0
Barbados,BRB,1950,7.5,92.5
Barbados,BRB,1970,0.73000336,99.27
Belarus,BLR,1989,2.1200027,97.88
Belarus,BLR,1999,0.41000366,99.59
Belarus,BLR,2009,0.37999725,99.62
Belarus,BLR,2019,0.12999725,99.87
Belgium,BEL,1475,90.0,10.0
Belgium,BEL,1550,83.0,17.0
Belgium,BEL,1650,75.0,25.0
Belgium,BEL,1750,87.0,13.0
Belgium,BEL,1900,19.6,80.4
Belgium,BEL,1910,13.4,86.6
Belgium,BEL,1920,7.8,92.2
Belgium,BEL,1930,5.9,94.1
Belgium,BEL,1950,3.5,96.5
Belize,BLZ,1950,22.5,77.5
Belize,BLZ,1991,29.699997,70.3
Belize,BLZ,2000,23.099998,76.9
Belize,BLZ,2015,9.080002,90.92
Belize,BLZ,2022,12.120003,87.88
Benin,BEN,1979,83.520004,16.48
Benin,BEN,1992,72.75,27.25
Benin,BEN,2002,65.34,34.66
Benin,BEN,2011,55.31188,44.68812
Benin,BEN,2013,54.92,45.08
Benin,BEN,2017,61.13,38.87
Benin,BEN,2019,51.0,49.0
Benin,BEN,2021,56.17,43.83
Benin,BEN,2022,48.62,51.38
Bermuda,BMU,1950,3.5,96.5
Bhutan,BTN,1950,97.0,3.0
Bhutan,BTN,2005,47.19,52.81
Bhutan,BTN,2012,44.68,55.32
Bhutan,BTN,2017,33.440002,66.56
Bhutan,BTN,2022,35.089996,64.91
Bolivia,BOL,1950,67.5,32.5
Bolivia,BOL,1976,36.79,63.21
Bolivia,BOL,1992,20.010002,79.99
Bolivia,BOL,2001,13.279999,86.72
Bolivia,BOL,2007,9.709999,90.29
Bolivia,BOL,2008,9.300003,90.7
Bolivia,BOL,2009,8.830002,91.17
Bolivia,BOL,2011,7.7699966,92.23
Bolivia,BOL,2012,5.540001,94.46
Bolivia,BOL,2015,7.540001,92.46
Bolivia,BOL,2020,6.1500015,93.85
Bolivia,BOL,2023,4.449997,95.55
Bolivia,BOL,2024,3.2699966,96.73
Bosnia and Herzegovina,BIH,1991,10.940002,89.06
Bosnia and Herzegovina,BIH,2000,3.3399963,96.66
Bosnia and Herzegovina,BIH,2013,3.0100021,96.99
Botswana,BWA,1950,77.5,22.5
Botswana,BWA,1991,31.419998,68.58
Botswana,BWA,2003,18.809998,81.19
Brazil,BRA,1900,65.3,34.7
Brazil,BRA,1920,64.9,35.1
Brazil,BRA,1940,56.1,43.9
Brazil,BRA,1950,52.5,47.5
Brazil,BRA,1980,25.410004,74.59
Brazil,BRA,2000,13.629997,86.37
Brazil,BRA,2004,11.379997,88.62
Brazil,BRA,2006,10.379997,89.62
Brazil,BRA,2007,9.989998,90.01
Brazil,BRA,2008,9.959999,90.04
Brazil,BRA,2009,9.699997,90.3
Brazil,BRA,2010,9.620003,90.38
Brazil,BRA,2011,8.589996,91.41
Brazil,BRA,2012,8.660004,91.34
Brazil,BRA,2013,8.519997,91.48
Brazil,BRA,2014,8.269997,91.73
Brazil,BRA,2015,7.949997,92.05
Brazil,BRA,2016,7.1900024,92.81
Brazil,BRA,2017,6.919998,93.08
Brazil,BRA,2018,6.7699966,93.23
Brazil,BRA,2019,6.107376,93.892624
Brazil,BRA,2020,5.2555923,94.74441
Brazil,BRA,2021,5.2273865,94.77261
Brazil,BRA,2022,5.623131,94.37687
Brazil,BRA,2023,5.427452,94.57255
Brazil,BRA,2024,5.260002,94.74
Brunei,BRN,1950,72.5,27.5
Brunei,BRN,1981,22.260002,77.74
Brunei,BRN,1991,12.199997,87.8
Brunei,BRN,2001,7.330002,92.67
Brunei,BRN,2011,3.9100037,96.09
Bulgaria,BGR,1900,70.4,29.6
Bulgaria,BGR,1905,65.5,34.5
Bulgaria,BGR,1910,57.8,42.2
Bulgaria,BGR,1920,46.7,53.3
Bulgaria,BGR,1926,39.7,60.3
Bulgaria,BGR,1934,31.4,68.6
Bulgaria,BGR,1950,22.5,77.5
Bulgaria,BGR,2001,1.800003,98.2
Bulgaria,BGR,2011,1.6500015,98.35
Burkina Faso,BFA,1975,91.17,8.83
Burkina Faso,BFA,1991,86.43,13.57
Burkina Faso,BFA,1996,87.15,12.85
Burkina Faso,BFA,2003,78.18,21.82
Burkina Faso,BFA,2005,76.479996,23.52
Burkina Faso,BFA,2006,77.53,22.47
Burkina Faso,BFA,2007,72.12,27.88
Burkina Faso,BFA,2014,65.4,34.6
Burkina Faso,BFA,2018,60.65,39.35
Burkina Faso,BFA,2019,70.34,29.66
Burkina Faso,BFA,2021,63.03,36.97
Burkina Faso,BFA,2022,59.08,40.92
Burkina Faso,BFA,2023,58.432907,41.567093
Burundi,BDI,1979,77.49,22.51
Burundi,BDI,1990,62.62,37.38
Burundi,BDI,2000,40.7,59.3
Burundi,BDI,2008,51.92,48.08
Burundi,BDI,2014,38.71,61.29
Burundi,BDI,2016,34.309998,65.69
Burundi,BDI,2017,31.620003,68.38
Burundi,BDI,2020,28.662521,71.33748
Cambodia,KHM,1950,82.5,17.5
Cambodia,KHM,1998,32.660004,67.34
Cambodia,KHM,2004,26.39,73.61
Cambodia,KHM,2008,23.129997,76.87
Cambodia,KHM,2009,23.86,76.14
Cambodia,KHM,2013,20.349998,79.65
Cambodia,KHM,2014,21.940002,78.06
Cambodia,KHM,2015,19.470001,80.53
Cambodia,KHM,2019,12.339996,87.66
Cambodia,KHM,2020,17.44896,82.55104
Cambodia,KHM,2021,28.07,71.93
Cameroon,CMR,1950,92.5,7.5
Cameroon,CMR,1976,58.78,41.22
Cameroon,CMR,2000,31.589996,68.41
Cameroon,CMR,2007,29.32,70.68
Cameroon,CMR,2010,28.809998,71.19
Cameroon,CMR,2018,27.449997,72.55
Canada,CAN,1901,17.1,82.9
Canada,CAN,1911,11.0,89.0
Canada,CAN,1921,5.7,94.3
Canada,CAN,1931,4.3,95.7
Canada,CAN,1950,2.5,97.5
Cape Verde,CPV,1950,77.5,22.5
Cape Verde,CPV,1990,37.2,62.8
Cape Verde,CPV,2009,17.781044,82.218956
Cape Verde,CPV,2012,14.669998,85.33
Cape Verde,CPV,2015,13.209999,86.79
Cape Verde,CPV,2024,11.529999,88.47
Cayman Islands,CYM,2007,1.1299973,98.87
Cayman Islands,CYM,2017,1.1299973,98.87
Central African Republic,CAF,1950,97.0,3.0
Central African Republic,CAF,1975,81.76,18.24
Central African Republic,CAF,1988,66.380005,33.62
Central African Republic,CAF,2000,49.35,50.65
Central African Republic,CAF,2019,57.56,42.44
Central and Southern Asia (SDG),,1975,61.36,38.64
Central and Southern Asia (SDG),,1976,61.3,38.7
Central and Southern Asia (SDG),,1977,60.63,39.37
Central and Southern Asia (SDG),,1978,59.96,40.04
Central and Southern Asia (SDG),,1979,59.31,40.69
Central and Southern Asia (SDG),,1980,58.68,41.32
Central and Southern Asia (SDG),,1981,58.08,41.92
Central and Southern Asia (SDG),,1982,57.41,42.59
Central and Southern Asia (SDG),,1983,56.69,43.31
Central and Southern Asia (SDG),,1984,56.03,43.97
Central and Southern Asia (SDG),,1985,55.38,44.62
Central and Southern Asia (SDG),,1986,54.71,45.29
Central and Southern Asia (SDG),,1987,54.05,45.95
Central and Southern Asia (SDG),,1988,53.35,46.65
Central and Southern Asia (SDG),,1989,52.59,47.41
Central and Southern Asia (SDG),,1990,51.61,48.39
Central and Southern Asia (SDG),,1991,50.91,49.09
Central and Southern Asia (SDG),,1992,49.98,50.02
Central and Southern Asia (SDG),,1993,49.05,50.95
Central and Southern Asia (SDG),,1994,48.34,51.66
Central and Southern Asia (SDG),,1995,47.5,52.5
Central and Southern Asia (SDG),,1996,46.7,53.3
Central and Southern Asia (SDG),,1997,45.91,54.09
Central and Southern Asia (SDG),,1998,41.44,58.56
Central and Southern Asia (SDG),,1999,40.67,59.33
Central and Southern Asia (SDG),,2000,39.9,60.1
Central and Southern Asia (SDG),,2001,39.1,60.9
Central and Southern Asia (SDG),,2002,38.29,61.71
Central and Southern Asia (SDG),,2003,37.39,62.61
Central and Southern Asia (SDG),,2004,36.61,63.39
Central and Southern Asia (SDG),,2005,36.71,63.29
Central and Southern Asia (SDG),,2006,36.59,63.41
Central and Southern Asia (SDG),,2007,35.78,64.22
Central and Southern Asia (SDG),,2008,34.75,65.25
Central and Southern Asia (SDG),,2009,33.93,66.07
Central and Southern Asia (SDG),,2010,31.559998,68.44
Central and Southern Asia (SDG),,2011,31.21,68.79
Central and Southern Asia (SDG),,2012,31.129997,68.87
Central and Southern Asia (SDG),,2013,30.18,69.82
Central and Southern Asia (SDG),,2014,29.480003,70.52
Central and Southern Asia (SDG),,2015,28.239998,71.76
Central and Southern Asia (SDG),,2016,27.010002,72.99
Central and Southern Asia (SDG),,2017,26.480003,73.52
Central and Southern Asia (SDG),,2018,25.980003,74.02
Central and Southern Asia (SDG),,2019,26.129997,73.87
Central and Southern Asia (SDG),,2020,25.449997,74.55
Central and Southern Asia (SDG),,2021,24.699997,75.3
Central and Southern Asia (SDG),,2022,23.919998,76.08
Central and Southern Asia (SDG),,2023,23.260002,76.74
Central and Southern Asia (SDG),,2024,22.620003,77.38
Chad,TCD,1993,89.11,10.89
Chad,TCD,2000,74.35,25.65
Chad,TCD,2004,71.62,28.38
Chad,TCD,2016,77.69,22.31
Chad,TCD,2019,69.37,30.63
Channel Islands,OWID_CIS,1950,1.5,98.5
Chile,CHL,1907,49.9,50.1
Chile,CHL,1920,36.9,63.1
Chile,CHL,1930,24.4,75.6
Chile,CHL,1940,26.4,73.6
Chile,CHL,1950,22.5,77.5
Chile,CHL,1982,8.870003,91.13
Chile,CHL,1992,5.709999,94.29
Chile,CHL,2002,4.279999,95.72
Chile,CHL,2011,3.300003,96.7
Chile,CHL,2013,3.7300034,96.27
Chile,CHL,2015,3.1299973,96.87
Chile,CHL,2017,3.5999985,96.4
China,CHN,1950,52.5,47.5
China,CHN,1982,34.489998,65.51
China,CHN,1990,22.21,77.79
China,CHN,2000,9.080002,90.92
China,CHN,2010,4.8799973,95.12
China,CHN,2020,3.2600021,96.74
Cocos Islands,CCK,1950,82.5,17.5
Colombia,COL,1918,57.6,42.4
Colombia,COL,1928,48.4,51.6
Colombia,COL,1938,44.2,55.8
Colombia,COL,1950,47.5,52.5
Colombia,COL,1993,8.940002,91.06
Colombia,COL,1996,8.790001,91.21
Colombia,COL,2004,7.199997,92.8
Colombia,COL,2005,7.1500015,92.85
Colombia,COL,2006,7.699997,92.3
Colombia,COL,2007,7.3499985,92.65
Colombia,COL,2008,6.6200027,93.38
Colombia,COL,2009,6.760002,93.24
Colombia,COL,2010,6.6299973,93.37
Colombia,COL,2011,6.419998,93.58
Colombia,COL,2014,5.8099976,94.19
Colombia,COL,2015,5.75,94.25
Colombia,COL,2016,5.3499985,94.65
Colombia,COL,2017,5.11261,94.88739
Colombia,COL,2018,4.9100037,95.09
Colombia,COL,2019,4.75,95.25
Colombia,COL,2020,4.3600006,95.64
Colombia,COL,2021,4.339348,95.66065
Colombia,COL,2022,4.6896896,95.31031
Colombia,COL,2023,4.543373,95.45663
Colombia,COL,2024,4.6600037,95.34
Comoros,COM,1950,77.5,22.5
Comoros,COM,1980,52.08,47.92
Comoros,COM,2000,31.75,68.25
Comoros,COM,2014,26.350502,73.6495
Comoros,COM,2021,24.379799,75.6202
Congo,COG,1984,40.38,59.62
Congo,COG,2005,23.89,76.11
Cook Islands,COK,1950,7.5,92.5
Costa Rica,CRI,1950,22.5,77.5
Costa Rica,CRI,1984,7.3700027,92.63
Costa Rica,CRI,2000,5.1299973,94.87
Costa Rica,CRI,2011,2.5899963,97.41
Cote d'Ivoire,CIV,1988,65.86,34.14
Cote d'Ivoire,CIV,1998,63.65,36.35
Cote d'Ivoire,CIV,2000,51.26,48.74
Cote d'Ivoire,CIV,2014,56.09,43.91
Cote d'Ivoire,CIV,2016,49.96,50.04
Cote d'Ivoire,CIV,2021,50.0,50.0
Croatia,HRV,1991,3.300003,96.7
Croatia,HRV,2001,1.8499985,98.15
Cuba,CUB,1899,56.9,43.1
Cuba,CUB,1907,43.6,56.4
Cuba,CUB,1919,38.7,61.3
Cuba,CUB,1931,28.2,71.8
Cuba,CUB,1943,23.6,76.4
Cuba,CUB,1950,22.5,77.5
Cuba,CUB,1981,2.1500015,97.85
Cuba,CUB,2002,0.19999695,99.8
Cuba,CUB,2012,0.33000183,99.67
Cuba,CUB,2019,2.3499985,97.65
Cyprus,CYP,1950,37.5,62.5
Cyprus,CYP,1992,5.6399994,94.36
Cyprus,CYP,2001,3.199997,96.8
Cyprus,CYP,2011,1.3199997,98.68
Czechoslovakia,OWID_CZS,1950,2.5,97.5
Democratic Republic of Congo,COD,1950,62.5,37.5
Democratic Republic of Congo,COD,2001,32.83,67.17
Democratic Republic of Congo,COD,2012,24.980003,75.02
Democratic Republic of Congo,COD,2016,22.96,77.04
Democratic Republic of Congo,COD,2018,26.449997,73.55
Democratic Republic of Congo,COD,2020,34.317123,65.68288
Democratic Republic of Congo,COD,2023,31.5,68.5
Denmark,DNK,1950,1.5,98.5
Djibouti,DJI,1950,97.0,3.0
Dominican Republic,DOM,1950,57.5,42.5
Dominican Republic,DOM,1981,26.940002,73.06
Dominican Republic,DOM,2002,13.0,87.0
Dominican Republic,DOM,2007,11.760002,88.24
Dominican Republic,DOM,2010,10.459999,89.54
Dominican Republic,DOM,2011,9.889999,90.11
Dominican Republic,DOM,2012,9.839996,90.16
Dominican Republic,DOM,2013,9.139999,90.86
Dominican Republic,DOM,2014,8.239998,91.76
Dominican Republic,DOM,2015,8.010002,91.99
Dominican Republic,DOM,2016,6.220001,93.78
Dominican Republic,DOM,2017,6.7667847,93.233215
Dominican Republic,DOM,2018,6.563942,93.43606
Dominican Republic,DOM,2019,6.3273087,93.67269
Dominican Republic,DOM,2020,6.3073654,93.692635
Dominican Republic,DOM,2021,6.2690277,93.73097
Dominican Republic,DOM,2022,6.29776,93.70224
Dominican Republic,DOM,2023,5.687622,94.31238
Dominican Republic,DOM,2024,5.970001,94.03
East Asia and Pacific (WB),WB_EAP,1976,34.010002,65.99
East Asia and Pacific (WB),WB_EAP,1977,33.800003,66.2
East Asia and Pacific (WB),WB_EAP,1978,32.71,67.29
East Asia and Pacific (WB),WB_EAP,1979,31.480003,68.52
East Asia and Pacific (WB),WB_EAP,1980,30.39,69.61
East Asia and Pacific (WB),WB_EAP,1981,29.36,70.64
East Asia and Pacific (WB),WB_EAP,1982,28.39,71.61
East Asia and Pacific (WB),WB_EAP,1983,27.470001,72.53
East Asia and Pacific (WB),WB_EAP,1984,26.489998,73.51
East Asia and Pacific (WB),WB_EAP,1985,25.57,74.43
East Asia and Pacific (WB),WB_EAP,1986,24.739998,75.26
East Asia and Pacific (WB),WB_EAP,1987,23.589996,76.41
East Asia and Pacific (WB),WB_EAP,1988,19.86,80.14
East Asia and Pacific (WB),WB_EAP,1989,19.239998,80.76
East Asia and Pacific (WB),WB_EAP,1990,18.669998,81.33
East Asia and Pacific (WB),WB_EAP,1991,18.160004,81.84
East Asia and Pacific (WB),WB_EAP,1992,17.669998,82.33
East Asia and Pacific (WB),WB_EAP,1993,17.230003,82.77
East Asia and Pacific (WB),WB_EAP,1994,16.699997,83.3
East Asia and Pacific (WB),WB_EAP,1995,16.160004,83.84
East Asia and Pacific (WB),WB_EAP,1996,15.699997,84.3
East Asia and Pacific (WB),WB_EAP,1997,10.730003,89.27
East Asia and Pacific (WB),WB_EAP,1998,10.370003,89.63
East Asia and Pacific (WB),WB_EAP,1999,10.050003,89.95
East Asia and Pacific (WB),WB_EAP,2000,9.690002,90.31
East Asia and Pacific (WB),WB_EAP,2001,9.370003,90.63
East Asia and Pacific (WB),WB_EAP,2002,9.019997,90.98
East Asia and Pacific (WB),WB_EAP,2003,8.650002,91.35
East Asia and Pacific (WB),WB_EAP,2004,8.32,91.68
East Asia and Pacific (WB),WB_EAP,2005,7.9800034,92.02
East Asia and Pacific (WB),WB_EAP,2006,7.6299973,92.37
East Asia and Pacific (WB),WB_EAP,2007,6.489998,93.51
East Asia and Pacific (WB),WB_EAP,2008,6.1800003,93.82
East Asia and Pacific (WB),WB_EAP,2009,5.9100037,94.09
East Asia and Pacific (WB),WB_EAP,2010,5.919998,94.08
East Asia and Pacific (WB),WB_EAP,2011,5.699997,94.3
East Asia and Pacific (WB),WB_EAP,2012,5.459999,94.54
East Asia and Pacific (WB),WB_EAP,2013,5.3799973,94.62
East Asia and Pacific (WB),WB_EAP,2014,4.9100037,95.09
East Asia and Pacific (WB),WB_EAP,2015,4.699997,95.3
East Asia and Pacific (WB),WB_EAP,2016,4.5,95.5
East Asia and Pacific (WB),WB_EAP,2017,4.3099976,95.69
East Asia and Pacific (WB),WB_EAP,2018,4.2699966,95.73
East Asia and Pacific (WB),WB_EAP,2019,4.1299973,95.87
East Asia and Pacific (WB),WB_EAP,2020,3.9100037,96.09
East Asia and Pacific (WB),WB_EAP,2021,3.7799988,96.22
East Asia and Pacific (WB),WB_EAP,2022,3.6399994,96.36
East Asia and Pacific (WB),WB_EAP,2023,3.5100021,96.49
East Asia and Pacific (WB),WB_EAP,2024,3.3899994,96.61
East Timor,TLS,1950,97.0,3.0
East Timor,TLS,2001,62.4,37.6
East Timor,TLS,2007,49.4,50.6
East Timor,TLS,2010,41.69,58.31
East Timor,TLS,2015,35.550003,64.45
East Timor,TLS,2016,34.22,65.78
East Timor,TLS,2022,30.599998,69.4
Eastern and South-Eastern Asia (SDG),,1976,34.22,65.78
Eastern and South-Eastern Asia (SDG),,1977,34.010002,65.99
Eastern and South-Eastern Asia (SDG),,1978,32.910004,67.09
Eastern and South-Eastern Asia (SDG),,1979,31.660004,68.34
Eastern and South-Eastern Asia (SDG),,1980,30.550003,69.45
Eastern and South-Eastern Asia (SDG),,1981,29.5,70.5
Eastern and South-Eastern Asia (SDG),,1982,28.529999,71.47
Eastern and South-Eastern Asia (SDG),,1983,27.589996,72.41
Eastern and South-Eastern Asia (SDG),,1984,26.599998,73.4
Eastern and South-Eastern Asia (SDG),,1985,25.660004,74.34
Eastern and South-Eastern Asia (SDG),,1986,24.830002,75.17
Eastern and South-Eastern Asia (SDG),,1987,23.660004,76.34
Eastern and South-Eastern Asia (SDG),,1988,19.870003,80.13
Eastern and South-Eastern Asia (SDG),,1989,19.239998,80.76
Eastern and South-Eastern Asia (SDG),,1990,18.660004,81.34
Eastern and South-Eastern Asia (SDG),,1991,18.14,81.86
Eastern and South-Eastern Asia (SDG),,1992,17.650002,82.35
Eastern and South-Eastern Asia (SDG),,1993,17.199997,82.8
Eastern and South-Eastern Asia (SDG),,1994,16.650002,83.35
Eastern and South-Eastern Asia (SDG),,1995,16.11,83.89
Eastern and South-Eastern Asia (SDG),,1996,15.650002,84.35
Eastern and South-Eastern Asia (SDG),,1997,10.599998,89.4
Eastern and South-Eastern Asia (SDG),,1998,10.25,89.75
Eastern and South-Eastern Asia (SDG),,1999,9.919998,90.08
Eastern and South-Eastern Asia (SDG),,2000,9.559998,90.44
Eastern and South-Eastern Asia (SDG),,2001,9.239998,90.76
Eastern and South-Eastern Asia (SDG),,2002,8.879997,91.12
Eastern and South-Eastern Asia (SDG),,2003,8.510002,91.49
Eastern and South-Eastern Asia (SDG),,2004,8.169998,91.83
Eastern and South-Eastern Asia (SDG),,2005,7.830002,92.17
Eastern and South-Eastern Asia (SDG),,2006,7.4800034,92.52
Eastern and South-Eastern Asia (SDG),,2007,6.3199997,93.68
Eastern and South-Eastern Asia (SDG),,2008,6.010002,93.99
Eastern and South-Eastern Asia (SDG),,2009,5.739998,94.26
Eastern and South-Eastern Asia (SDG),,2010,5.75,94.25
Eastern and South-Eastern Asia (SDG),,2011,5.5199966,94.48
Eastern and South-Eastern Asia (SDG),,2012,5.279999,94.72
Eastern and South-Eastern Asia (SDG),,2013,5.199997,94.8
Eastern and South-Eastern Asia (SDG),,2014,4.709999,95.29
Eastern and South-Eastern Asia (SDG),,2015,4.489998,95.51
Eastern and South-Eastern Asia (SDG),,2016,4.290001,95.71
Eastern and South-Eastern Asia (SDG),,2017,4.0899963,95.91
Eastern and South-Eastern Asia (SDG),,2018,4.040001,95.96
Eastern and South-Eastern Asia (SDG),,2019,3.9000015,96.1
Eastern and South-Eastern Asia (SDG),,2020,3.6699982,96.33
Eastern and South-Eastern Asia (SDG),,2021,3.5299988,96.47
Eastern and South-Eastern Asia (SDG),,2022,3.3899994,96.61
Eastern and South-Eastern Asia (SDG),,2023,3.2600021,96.74
Eastern and South-Eastern Asia (SDG),,2024,3.1299973,96.87
Ecuador,ECU,1950,42.5,57.5
Ecuador,ECU,1982,16.449997,83.55
Ecuador,ECU,1990,11.699997,88.3
Ecuador,ECU,2001,9.019997,90.98
Ecuador,ECU,2007,7.9000015,92.1
Ecuador,ECU,2008,7.6100006,92.39
Ecuador,ECU,2009,7.75,92.25
Ecuador,ECU,2010,8.150002,91.85
Ecuador,ECU,2011,8.410004,91.59
Ecuador,ECU,2012,7.9400024,92.06
Ecuador,ECU,2013,6.709999,93.29
Ecuador,ECU,2014,5.779999,94.22
Ecuador,ECU,2015,5.540001,94.46
Ecuador,ECU,2016,5.6500015,94.35
Ecuador,ECU,2017,7.169998,92.83
Ecuador,ECU,2020,6.3700027,93.63
Ecuador,ECU,2021,5.5199966,94.48
Ecuador,ECU,2022,3.7399979,96.26
Ecuador,ECU,2024,6.510002,93.49
Egypt,EGY,1907,92.7,7.3
Egypt,EGY,1917,91.2,8.8
Egypt,EGY,1927,85.9,14.1
Egypt,EGY,1937,85.2,14.8
Egypt,EGY,1950,77.5,22.5
Egypt,EGY,1976,61.8,38.2
Egypt,EGY,1986,55.58,44.42
Egypt,EGY,1996,44.41,55.59
Egypt,EGY,2005,32.67,67.33
Egypt,EGY,2006,33.629997,66.37
Egypt,EGY,2010,27.949997,72.05
Egypt,EGY,2012,26.129997,73.87
Egypt,EGY,2013,27.559998,72.44
Egypt,EGY,2017,28.830002,71.17
Egypt,EGY,2021,17.919617,82.08038
Egypt,EGY,2022,20.546837,79.45316
El Salvador,SLV,1950,62.5,37.5
El Salvador,SLV,1992,25.86,74.14
El Salvador,SLV,2006,16.440002,83.56
El Salvador,SLV,2007,17.970001,82.03
El Salvador,SLV,2008,16.050003,83.95
El Salvador,SLV,2009,15.900002,84.1
El Salvador,SLV,2010,15.510002,84.49
El Salvador,SLV,2011,14.510002,85.49
El Salvador,SLV,2012,14.537544,85.462456
El Salvador,SLV,2013,13.230003,86.77
El Salvador,SLV,2014,12.587463,87.41254
El Salvador,SLV,2015,12.029999,87.97
El Salvador,SLV,2016,11.860001,88.14
El Salvador,SLV,2017,11.519997,88.48
El Salvador,SLV,2018,10.989998,89.01
El Salvador,SLV,2019,10.860001,89.14
El Salvador,SLV,2020,10.019997,89.98
El Salvador,SLV,2021,10.941353,89.05865
El Salvador,SLV,2022,10.646286,89.353714
El Salvador,SLV,2023,10.150002,89.85
El Salvador,SLV,2024,10.230003,89.77
Equatorial Guinea,GNQ,1950,77.5,22.5
Equatorial Guinea,GNQ,2000,11.690002,88.31
Eritrea,ERI,1950,97.0,3.0
Eritrea,ERI,2002,47.49,52.51
Eritrea,ERI,2008,35.339996,64.66
Estonia,EST,1989,0.26999664,99.73
Estonia,EST,2000,0.23000336,99.77
Estonia,EST,2011,0.11000061,99.89
Eswatini,SWZ,1950,82.5,17.5
Eswatini,SWZ,1976,44.67,55.33
Eswatini,SWZ,1986,32.760002,67.24
Eswatini,SWZ,2000,18.339996,81.66
Eswatini,SWZ,2022,9.25,90.75
Ethiopia,ETH,1950,97.0,3.0
Ethiopia,ETH,1994,72.99,27.01
Ethiopia,ETH,2004,64.1,35.9
Ethiopia,ETH,2007,61.0,39.0
Ethiopia,ETH,2013,51.645027,48.354973
Ethiopia,ETH,2016,52.51,47.49
Ethiopia,ETH,2019,44.95,55.05
Ethiopia,ETH,2021,45.11463,54.88537
Ethiopia,ETH,2022,39.54,60.46
Europe and Central Asia (WB),WB_ECA,1994,4.199997,95.8
Europe and Central Asia (WB),WB_ECA,1995,4.050003,95.95
